交易日期,作物代號,作物名稱,市場代號,市場名稱,上價(元/公斤),中價(元/公斤),下價(元/公斤),平均價(元/公斤),交易量(公斤),
103.04.16,R1,芒果-愛文,109,台北一,225.2,93.1,47.6,110.4,1478,
103.04.16,R1,芒果-愛文,241,三重區,68.4,52.6,42.7,53.8,2459.5,
103.04.16,R1,芒果-愛文,400,台中市,108.6,54.8,27.1,72.9,1163,
103.04.16,R1,芒果-愛文,800,高雄市,80,70,60,70,120,
103.04.15,R1,芒果-愛文,104,台北二,66.5,45,33.8,47.1,772,
103.04.15,R1,芒果-愛文,109,台北一,203.9,93.2,56.5,108,2164,
103.04.15,R1,芒果-愛文,241,三重區,81.4,57,43.7,59.2,4900.5,
103.04.15,R1,芒果-愛文,400,台中市,105.8,66.1,31.6,70.3,5790,
103.04.13,R1,芒果-愛文,104,台北二,97.8,58.4,35,61.6,278,
103.04.13,R1,芒果-愛文,109,台北一,202.4,86.8,55.8,103.7,2139,
103.04.13,R1,芒果-愛文,241,三重區,84.8,58.5,41.6,60.4,3422,
103.04.13,R1,芒果-愛文,400,台中市,108.8,70.5,35.5,72.7,3098,
103.04.13,R1,芒果-愛文,800,高雄市,80,80,80,80,75,
103.04.12,R1,芒果-愛文,104,台北二,103.3,60.6,48.4,66.7,305,
103.04.12,R1,芒果-愛文,109,台北一,246.6,104.2,56.8,123.2,1904,
103.04.12,R1,芒果-愛文,241,三重區,91.2,62.7,39.8,63.8,3532.5,
103.04.12,R1,芒果-愛文,400,台中市,103.3,62.3,33.1,69.1,1802,
103.04.11,R1,芒果-愛文,104,台北二,95,76.7,50,75,18,
103.04.11,R1,芒果-愛文,109,台北一,228.9,89.6,46.1,108.8,1169,
103.04.11,R1,芒果-愛文,241,三重區,111.9,68.2,53.7,74,1434.5,
103.04.11,R1,芒果-愛文,400,台中市,96.9,52.7,28.1,63.4,833,
103.04.10,R1,芒果-愛文,104,台北二,90,80.4,72,80.7,18,
103.04.10,R1,芒果-愛文,109,台北一,252.5,101.7,42,119.9,879,
103.04.10,R1,芒果-愛文,241,三重區,106.4,65.7,50.6,70.8,1200.5,
103.04.10,R1,芒果-愛文,400,台中市,105,70,32.5,78,882,
103.04.10,R1,芒果-愛文,800,高雄市,80,80,80,80,120,
103.04.09,R1,芒果-愛文,104,台北二,60,46.8,32.5,46.6,50,
103.04.09,R1,芒果-愛文,109,台北一,214.9,89,53,107,472,
103.04.09,R1,芒果-愛文,241,三重區,112.9,53.7,24.7,59.7,936.5,
103.04.09,R1,芒果-愛文,400,台中市,106.7,80,31,84.4,306,
103.04.09,R1,芒果-愛文,800,高雄市,120,100,80,100,126,
103.04.08,R1,芒果-愛文,104,台北二,90,69.8,51.3,70.2,34,
103.04.08,R1,芒果-愛文,109,台北一,207.4,102.7,69.3,116.9,813,
103.04.08,R1,芒果-愛文,241,三重區,117.9,78.9,58.5,82.6,1315,
103.04.08,R1,芒果-愛文,400,台中市,108,68.7,23.2,67.9,466,
103.04.08,R1,芒果-愛文,800,高雄市,150,111.1,100,116.7,108,
103.04.04,R1,芒果-愛文,104,台北二,123.9,95.7,55.6,93.3,45,
103.04.04,R1,芒果-愛文,109,台北一,276.1,105.2,67.7,131.9,349,
103.04.04,R1,芒果-愛文,241,三重區,128.2,75.3,65.1,83.8,536,
103.04.04,R1,芒果-愛文,400,台中市,105,68,18,67.6,486,
103.04.04,R1,芒果-愛文,800,高雄市,95,95,95,95,24,
103.04.03,R1,芒果-愛文,104,台北二,120,116.7,105,115,18,
103.04.03,R1,芒果-愛文,109,台北一,322.9,132.7,86.5,161.5,244,
103.04.03,R1,芒果-愛文,241,三重區,108.4,72.8,65.7,78.5,976,
103.04.03,R1,芒果-愛文,400,台中市,101.2,56.2,34.2,82.9,395,
103.04.02,R1,芒果-愛文,109,台北一,263.5,108.1,54.8,128.5,385,
103.04.02,R1,芒果-愛文,241,三重區,121.4,63.1,51.8,72.5,328,
103.04.02,R1,芒果-愛文,400,台中市,106.2,66.4,33.5,75,483,
103.04.02,R1,芒果-愛文,800,高雄市,130,115,100,115,100,
